uid,label,mean_step_speed,stddev_step_speed,track_length,e2e_distance,duration
lab_0_0,0,0.17308783,0.10014095,51.9263486,40.4087717,300
lab_0_1,0,0.16504766,0.08619364,49.5142984,32.9573225,300
lab_0_2,0,0.16738813,0.09917697,50.2164377,31.6494861,300
lab_0_3,0,0.21592692,0.10979698,64.7780765,42.5249481,300
lab_0_4,0,0.09778596,0.09698448,29.3357877,1.61693568,300
lab_0_5,1,3.26391572,0.74180426,381.878139,339.804359,117
lab_0_6,1,1.95049182,0.82139467,306.227216,147.710408,157
lab_1_0,1,4.62128073,2.59111627,1386.38422,961.676141,300
lab_1_1,0,0.12528392,0.00693544,37.5851749,36.4965752,300
lab_1_2,0,0.11180397,0.05590234,2.23607943,2.23606798,20
lab_1_3,1,12.5138584,3.05953503,1126.24726,1085.7928,90
lab_1_4,0,6.27443199,0.84053747,250.977279,247.541916,40
lab_1_5,1,7.74455497,3.0349393,867.390156,255.017646,112
lab_1_6,1,13.4238823,3.32980772,1141.03,1045.19137,85
lab_1_7,1,4.0423752,1.22024185,189.991634,146.577624,47
lab_1_8,1,5.3613434,2.31969761,42.8907472,42.296572,8
lab_1_9,1,15.2651993,1.81852206,45.795598,45.7930126,3
lab_2_0,1,8.56676951,4.889565,436.905245,380.14734,51
lab_2_1,1,6.78906538,3.24519565,862.211303,688.743784,127
lab_2_2,1,14.0275603,1.88843984,659.295333,641.081898,47
lab_2_3,1,8.69696394,2.43922417,791.423719,585.702996,91
lab_2_4,0,0.07277211,0.00084181,22.0499489,21.5406592,303
lab_2_5,1,14.6973189,3.36350141,543.800799,439.710132,37
lab_2_6,1,9.911455,3.41873359,1030.79132,542.273916,104
lab_2_7,1,8.52846784,3.96553445,375.252585,77,44
lab_2_8,1,16,0,16,16,1
lab_2_9,1,11.2357493,4.02965709,1134.81068,1002.01447,101
lab_2_10,1,7.20350463,4.66479525,151.273597,84.8528137,21
lab_2_11,1,19.0023229,2.56483766,171.020906,170.320287,9
lab_2_12,1,10.5201084,1.44129071,42.0804337,40.3112887,4
lab_2_13,1,7.54963457,2.79832869,1102.24665,505.729177,146
lab_2_14,1,10.4663027,4.78259075,104.663027,103.23759,10
lab_2_15,1,11.7162197,3.47465856,1405.94636,586.436697,120
lab_2_16,1,10.3674002,2.55046897,1140.41402,747.54331,110
lab_2_17,1,10.6908507,2.71521247,224.507864,213.740497,21
lab_2_18,1,12.1579,1.80196066,559.263399,549.88817,46
lab_2_19,1,10.753186,1.97348244,419.374252,402.796475,39
lab_2_20,1,13.9219146,3.38087159,361.969781,305.851271,26
lab_3_0,1,4.9757897,3.44325404,363.232648,232.768125,73
lab_3_1,0,0.1680124,0.77106665,50.2357075,19.4164878,299
lab_3_2,0,0.04838913,0.02342333,14.46835,8.06225775,299
lab_3_3,0,0.0576933,0.0458477,17.2502961,5,299
lab_3_4,0,0.08776826,0.0220955,26.2427093,9.8488578,299
lab_3_5,0,0.1150188,0.08643334,34.3906209,6,299
lab_3_6,0,0.12822894,0.05095832,38.3404526,8.06225775,299
lab_3_7,0,0.06155521,0.0313122,18.4050086,8.06225775,299
lab_3_8,0,0.11567428,0.05151487,34.5866098,18.3575598,299
lab_3_9,0,0.07835651,0.06489654,23.4285973,19.3132079,299
lab_3_10,0,0.08956324,0.05078301,26.7794093,12.8062485,299
lab_3_11,0,0.09944283,0.00260939,29.7334066,26.4196896,299
lab_3_12,1,10.6601327,1.74018331,31.980398,31.144823,3
lab_3_13,1,7.784264,2.72562717,490.408632,444.288195,63
lab_3_14,1,8.43898841,3.35032103,286.925606,242.538657,34
lab_4_0,1,9.94881352,2.23151507,447.696609,446.653822,45
lab_4_1,0,2.03600854,0.22029643,610.802561,607.620594,300
lab_4_2,0,1.8885066,0.08327951,566.551981,565.41978,300
lab_4_3,0,1.92466293,0.11445269,577.39888,576.400832,300
lab_4_4,0,1.44173662,0.1172477,317.182055,315.716939,220
lab_4_5,0,1.74694257,0.105523,524.082771,522.804428,300
lab_4_6,0,1.74537657,0.15260564,459.034037,458.022039,263
lab_4_7,0,1.7550489,0.79809549,289.583068,289.28095,165
lab_4_8,0,1.85173982,0.06534828,66.6626334,66.5335537,36
lab_4_9,0,2.30907363,0.10225609,692.722089,691.053195,300
lab_4_10,0,2.75164727,0.0145402,41.2747091,41.2373206,15
lab_4_11,0,2.21035723,0.24010151,75.1521459,75.0765044,34
lab_4_12,1,4.38140879,7.60318979,525.769055,398.424168,170
lab_4_13,0,2.20894678,0.08801519,618.5051,617.171067,280
lab_4_14,0,1.67955743,0.10177251,178.033088,177.131235,106
lab_4_15,0,2.22371428,0.53405066,182.344571,181.373132,82
lab_4_16,0,2.68337665,0.161412,287.121301,286.541676,107
lab_4_17,0,2.06417644,0.10110134,328.204054,327.629819,159
lab_4_18,0,2.70972742,4.56975473,292.650561,291.347073,129
lab_4_19,0,2.57319471,0.20917875,226.441134,226.379287,88
lab_4_20,0,1.77296136,0.25890979,56.7347634,56.5933963,32
lab_4_21,0,2.71315275,0.10156664,84.1077352,84.0846576,31
lab_4_22,0,1.54172921,0.41706259,40.0849594,39.9906239,26
lab_4_23,0,1.99261141,0.21247907,39.8522283,39.8515691,20
